Look up table showing relationship of Lower Super Output Areas (LSOAs) to Wards*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LSOA CODE,LSOA name,Ward code,WARD *,Local Authority,,,,,,,,,,,,
E01030412,Epsom and Ewell 008C,E05007283,Town (Epsom),Epsom and Ewell,,,,,,,,,,,,
E01030419,Epsom and Ewell 008D,E05007285,Woodcote,Epsom and Ewell,,,,,,,,,,,,
E01030379,Epsom and Ewell 009A,E05007274,College,Epsom and Ewell,,,,,,,,,,,,
E01030380,Epsom and Ewell 009B,E05007274,College,Epsom and Ewell,,,,,,,,,,,,
E01030405,Epsom and Ewell 009C,E05007281,Stamford,Epsom and Ewell,,,,,,,,,,,,
E01030417,Epsom and Ewell 009D,E05007285,Woodcote,Epsom and Ewell,,,,,,,,,,,,
E01030418,Epsom and Ewell 009E,E05007285,Woodcote,Epsom and Ewell,,,,,,,,,,,,
E01030420,Epsom and Ewell 009F,E05007285,Woodcote,Epsom and Ewell,,,,,,,,,,,,
E01030382,Epsom and Ewell 010A,E05007274,College,Epsom and Ewell,Formerly Epsom and Ewell 006A ¶,,,,,,,,,,,
E01030390,Epsom and Ewell 010B,E05007277,Ewell,Epsom and Ewell,Formerly Epsom and Ewell 006B ¶,,,,,,,,,,,
E01030392,Epsom and Ewell 010C,E05007277,Ewell,Epsom and Ewell,Formerly Epsom and Ewell 006C ¶,,,,,,,,,,,
E01030396,Epsom and Ewell 010D,E05007279,Nonsuch,Epsom and Ewell,Formerly Epsom and Ewell 006D ¶,,,,,,,,,,,
E01030398,Epsom and Ewell 010E,E05007279,Nonsuch,Epsom and Ewell,Formerly Epsom and Ewell 006F ¶,,,,,,,,,,,
E01032624,Epsom and Ewell 010F,E05007279,Nonsuch,Epsom and Ewell,Formerly Epsom and Ewell 006E (E01030397) ¶,,,,,,,,,,,
E01030440,Guildford 001A,E05007291,Clandon and Horsley,Guildford,,,,,,,,,,,,
